Reference, Value, Footprint, Datasheet, PN, Field4
"U4","ATM90E32","ATM90E32AS-AU-R:QFP50P900X900X120-48N","","ATM90E32AS-AU-R",""
"C10",".1u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C9","10u","Capacitor_SMD:C_0805_2012Metric","","C",""
"R2","12","Resistor_SMD:R_0805_2012Metric","","R",""
"R1","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"R3","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"C1",".33u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C2",".33u","Capacitor_SMD:C_0805_2012Metric","","C",""
"R7","12","Resistor_SMD:R_0805_2012Metric","","R",""
"R6","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"R9","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"C5",".33u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C6",".33u","Capacitor_SMD:C_0805_2012Metric","","C",""
"U1","TRS35_3","HappyDayEnergy:Audio-Jack","","SJ-3523-SMT-TR",""
"U2","TRS35_3","HappyDayEnergy:Audio-Jack","","SJ-3523-SMT-TR",""
"J1","PJ-002AH-SMT-TR","PJ-002AH-SMT-TR:CUI_PJ-002AH-SMT-TR","Manufacturer recommendations","CUI_PJ-002AH-SMT-TR","CUI INC"
"R4","100K","Resistor_SMD:R_0805_2012Metric","","R",""
"R5","4.7K","Resistor_SMD:R_0805_2012Metric","","R",""
"C3","220uF/25V","200uF_CAP:UCW1V100MCL1GS","","UCV1V221MCL1GS",""
"D1","D_Schottky","HappyDayEnergy:FM5819-W","","FM5819-W",""
"U3","TPS62162DSGR","HappyDayEnergy:TPS62162DSGR","","TPS62162DSGR",""
"R11","100K","Resistor_SMD:R_0805_2012Metric","","R",""
"L1","2.2uH","HappyDayEnergy:PA4332.XXXNLT","","PA4332.222NLT",""
"R12","499","Resistor_SMD:R_0805_2012Metric","","R",""
"C7","22uF/25V","Capacitor_SMD:C_0805_2012Metric","","GRM21BR61E226ME44K",""
"D2","IND_LED","Diode_SMD:D_0805_2012Metric","","LED",""
"C4",".033u","Capacitor_SMD:C_0805_2012Metric","","C",""
"R10","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"R8","1K","Resistor_SMD:R_0805_2012Metric","","R",""
"C12","18n","Capacitor_SMD:C_0805_2012Metric","","C",""
"Y1","Crystal_GND2","XTAL_FA-238_25.0000MB-C3:XTAL_FA-238_25.0000MB-C3","","FA-238 16.3840MB-K",""
"C8",".1u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C13",".1u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C14","10u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C15",".1u","Capacitor_SMD:C_0805_2012Metric","","C",""
"R13","10K","Resistor_SMD:R_0805_2012Metric","","R",""
"J2","Conn_01x09","HappyDayEnergy:9Pin-bb","~","X",""
"C11","10u","Capacitor_SMD:C_0805_2012Metric","","C",""
"C16",".033u","Capacitor_SMD:C_0805_2012Metric","","C",""
